Model,Language Tier,Part of Speech,Accuracy,Number of Samples
gemma-3-1b-it,High-Resource,Adjectives,0.3556701030927835,776
gemma-3-1b-it,High-Resource,Nouns,0.3761500992242468,5543
gemma-3-1b-it,High-Resource,Verbs,0.3414758269720102,1965
gemma-3-1b-it,Low-Resource,Adjectives,0.125,32
gemma-3-1b-it,Low-Resource,Nouns,0.33126550868486354,1612
gemma-3-1b-it,Low-Resource,Verbs,0.32286995515695066,223
gemma-3-1b-it,Medium-Resource,Adjectives,0.33881578947368424,304
gemma-3-1b-it,Medium-Resource,Nouns,0.3560774357346874,3151
gemma-3-1b-it,Medium-Resource,Verbs,0.32996972754793136,991
Mistral-7B-Instruct-v0.3,High-Resource,Adjectives,0.6842783505154639,776
Mistral-7B-Instruct-v0.3,High-Resource,Nouns,0.4788020927295688,5543
Mistral-7B-Instruct-v0.3,High-Resource,Verbs,0.5653944020356234,1965
Mistral-7B-Instruct-v0.3,Low-Resource,Adjectives,0.25,32
Mistral-7B-Instruct-v0.3,Low-Resource,Nouns,0.40260545905707196,1612
Mistral-7B-Instruct-v0.3,Low-Resource,Verbs,0.28699551569506726,223
Mistral-7B-Instruct-v0.3,Medium-Resource,Adjectives,0.6019736842105263,304
Mistral-7B-Instruct-v0.3,Medium-Resource,Nouns,0.4439860361789908,3151
Mistral-7B-Instruct-v0.3,Medium-Resource,Verbs,0.5146316851664985,991
Qwen3-8B,High-Resource,Adjectives,0.5605670103092784,776
Qwen3-8B,High-Resource,Nouns,0.43406097780985026,5543
Qwen3-8B,High-Resource,Verbs,0.455470737913486,1965
Qwen3-8B,Low-Resource,Adjectives,0.34375,32
Qwen3-8B,Low-Resource,Nouns,0.380272952853598,1612
Qwen3-8B,Low-Resource,Verbs,0.32286995515695066,223
Qwen3-8B,Medium-Resource,Adjectives,0.5296052631578947,304
Qwen3-8B,Medium-Resource,Nouns,0.4262139003490955,3151
Qwen3-8B,Medium-Resource,Verbs,0.4803229061553986,991
